Longitude,Latitude,GrainMassFlow,GPSTime,CycleDuration,TravelSpeed,SwathWidth,GrainMoisture,Header,Pass,Field,Load,LoadNumber,Crop,GPSStatus,PDOP,Altitude
-85.162780,40.264943,0.00,485959,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,302
-85.162758,40.264943,0.00,485960,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,301
-85.162738,40.264943,0.00,485961,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,301
-85.162717,40.264945,0.00,485962,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,301
-85.162695,40.264943,0.00,485963,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,301
-85.162672,40.264945,0.00,485964,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,301
-85.162648,40.264945,0.00,485965,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,300
-85.162627,40.264943,0.00,485966,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,300
-85.162607,40.264945,0.00,485967,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,300
-85.162583,40.264947,0.00,485968,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,300
-85.162562,40.264947,0.00,485969,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,300
-85.162542,40.264947,0.00,485970,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,300
-85.162520,40.264948,0.00,485971,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,300
-85.162498,40.264948,0.00,485972,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,300
-85.162475,40.264947,0.00,485973,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,300
-85.162453,40.264948,0.00,485974,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,300
-85.162430,40.264948,0.00,485975,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,300
-85.162408,40.264950,0.00,485976,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,300
-85.162385,40.264950,0.00,485977,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162362,40.264952,0.00,485978,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162345,40.264950,0.00,485979,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162325,40.264955,0.00,485980,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162310,40.264960,0.00,485981,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162292,40.264967,0.00,485982,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162278,40.264970,0.00,485983,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162258,40.264973,0.00,485984,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162247,40.264973,0.00,485985,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162237,40.264975,0.00,485986,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162230,40.264973,0.00,485987,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162238,40.264973,0.00,485988,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162242,40.264973,0.00,485989,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162253,40.264975,0.00,485990,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162265,40.264980,0.00,485991,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162283,40.264982,0.00,485992,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162302,40.264983,0.00,485993,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162320,40.264983,0.00,485994,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,299
-85.162335,40.264985,0.00,485995,1,0,15,17.8,Up,1,0,End Rows,1,Corn,2,3.2,299
