#Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Swth Wdth(ft),Yld Vol(Dry)(bu/ac),Mark ID,Yld Mass(Wet)(lb/ac),Moisture(%),Desc,Hding Veh(deg)
Longitude,Latitude,Field,Dataset,Product,ObjId,Distance,Swath,Yield,MarkID,YldMassWet,Moisture,Desc,Heading
-97.59129333,44.09590894,Stevens East,Stevens East-Corn,A,161,6.263,5.000,95.98,115,5408.6,15.53,10/12/2015 4:45:38 PM,359.52
-97.59127430,44.09590882,Stevens East,Stevens East-Corn,A,162,6.263,5.000,95.98,116,5408.6,15.53,10/12/2015 4:45:38 PM,359.52
-97.59136973,44.09592709,Stevens East,Stevens East-Corn,A,163,6.427,5.000,113.06,111,6371.0,15.53,10/12/2015 4:45:39 PM,359.56
-97.59135069,44.09592696,Stevens East,Stevens East-Corn,A,164,6.427,5.000,113.06,112,6371.0,15.53,10/12/2015 4:45:39 PM,359.56
-97.59133166,44.09592683,Stevens East,Stevens East-Corn,A,165,6.427,5.000,113.06,113,6371.0,15.53,10/12/2015 4:45:39 PM,359.56
-97.59131262,44.09592670,Stevens East,Stevens East-Corn,A,166,6.427,5.000,113.06,114,6371.0,15.53,10/12/2015 4:45:39 PM,359.56
-97.59129359,44.09592657,Stevens East,Stevens East-Corn,A,167,6.427,5.000,113.06,115,6371.0,15.53,10/12/2015 4:45:39 PM,359.56
-97.59127455,44.09592644,Stevens East,Stevens East-Corn,A,168,6.427,5.000,113.06,116,6371.0,15.53,10/12/2015 4:45:39 PM,359.56
-97.59136971,44.09594483,Stevens East,Stevens East-Corn,A,169,6.427,5.000,107.90,111,6042.0,14.79,10/12/2015 4:45:40 PM,359.75
-97.59135068,44.09594465,Stevens East,Stevens East-Corn,A,170,6.427,5.000,107.90,112,6042.0,14.79,10/12/2015 4:45:40 PM,359.75
-97.59133164,44.09594448,Stevens East,Stevens East-Corn,A,171,6.427,5.000,107.90,113,6042.0,14.79,10/12/2015 4:45:40 PM,359.75
-97.59131261,44.09594430,Stevens East,Stevens East-Corn,A,172,6.427,5.000,107.90,114,6042.0,14.79,10/12/2015 4:45:40 PM,359.75
-97.59129358,44.09594413,Stevens East,Stevens East-Corn,A,173,6.427,5.000,107.90,115,6042.0,14.79,10/12/2015 4:45:40 PM,359.75
-97.59127454,44.09594395,Stevens East,Stevens East-Corn,A,174,6.427,5.000,107.90,116,6042.0,14.79,10/12/2015 4:45:40 PM,359.75
