Longitude,Latitude,GrainMassFlow,GPSTime,CycleDuration,TravelSpeed,SwathWidth,GrainMoisture,Header,Pass,Field,Load,LoadNumber,Crop,GPSStatus,PDOP,Altitude
-85.165575,40.271483,13.97,134799,1,52,15,16.1,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165560,40.271482,13.52,134800,1,51,15,16.2,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165543,40.271482,13.12,134801,1,52,15,16.5,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165527,40.271482,13.26,134802,1,53,15,16.4,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165513,40.271482,12.89,134803,1,53,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165497,40.271482,12.87,134804,1,53,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165482,40.271482,12.28,134805,1,51,15,16.5,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165467,40.271482,13.01,134806,1,52,15,16.4,Down,1,0,End Rows,1,Corn,2,2.6,297
-85.165450,40.271482,13.33,134807,1,51,15,16.4,Down,1,0,End Rows,1,Corn,2,2.6,297
-85.165435,40.271482,12.93,134808,1,52,15,16.5,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165420,40.271482,12.40,134809,1,52,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165405,40.271482,12.81,134810,1,52,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165388,40.271482,12.06,134811,1,53,15,16.5,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165373,40.271482,12.60,134812,1,53,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165358,40.271482,15.86,134813,1,52,15,16.4,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165343,40.271480,13.51,134814,1,52,15,16.2,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165328,40.271480,16.80,134815,1,53,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165313,40.271480,14.70,134816,1,53,15,16.2,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165300,40.271480,14.15,134817,1,52,15,16.5,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165283,40.271480,13.33,134818,1,52,15,16.4,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165270,40.271480,12.99,134819,1,53,15,16.1,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165253,40.271480,12.91,134820,1,52,15,16.2,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165238,40.271480,12.98,134821,1,53,15,16.4,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165223,40.271478,12.98,134822,1,52,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165208,40.271478,12.86,134823,1,53,15,16.4,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165193,40.271478,12.72,134824,1,52,15,16.3,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165178,40.271478,12.73,134825,1,53,15,16.4,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165165,40.271478,12.38,134826,1,51,15,16.2,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165148,40.271478,12.37,134827,1,52,15,16.1,Down,1,0,End Rows,1,Corn,2,2.0,297
-85.165133,40.271478,12.52,134828,1,52,15,16.0,Down,1,0,End Rows,1,Corn,2,2.0,298
-85.165117,40.271478,11.95,134829,1,52,15,16.2,Down,1,0,End Rows,1,Corn,2,2.0,297
