#Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Swth Wdth(ft),Yld Vol(Dry)(bu/ac),Obj. Id,Yld Mass(Wet)(lb/ac),Moisture(%),Hding Veh(deg)
Longitude,Latitude,Field,Dataset,Product,ObjId,Distance,Swath,Yield,ObjId,YldMass,Moisture,Hding
-97.59136938,44.09589229,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,151,5.902,5.000,90.21,151,5083.5,15.53,359.65
-97.59135035,44.09589214,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,152,5.902,5.000,90.21,152,5083.5,15.53,359.65
-97.59133131,44.09589198,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,153,5.902,5.000,90.21,153,5083.5,15.53,359.65
-97.59131228,44.09589183,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,154,5.902,5.000,90.21,154,5083.5,15.53,359.65
-97.59129324,44.09589168,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,155,5.902,5.000,90.21,155,5083.5,15.53,359.65
-97.59127421,44.09589153,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,156,5.902,5.000,90.21,156,5083.5,15.53,359.65
-97.59136948,44.09590942,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,157,6.263,5.000,95.98,157,5408.6,15.53,359.52
-97.59135044,44.09590930,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,158,6.263,5.000,95.98,158,5408.6,15.53,359.52
-97.59133140,44.09590918,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,159,6.263,5.000,95.98,159,5408.6,15.53,359.52
-97.59131237,44.09590906,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,160,6.263,5.000,95.98,160,5408.6,15.53,359.52
-97.59129333,44.09590894,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,161,6.263,5.000,95.98,161,5408.6,15.53,359.52
-97.59127430,44.09590882,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,162,6.263,5.000,95.98,162,5408.6,15.53,359.52
