X,Y,fid,MEAN_X,MEAN_Y,Time,mean,Block,Sample,Balanced,Rectangle,Square
-97.5948876571178,44.0899670753149,"26705",-97.5948876571178,44.0899670753149,10/20/2019 1:38:43 AM,11.56978573,"4","3","0","0","0"
-97.5926632479018,44.0936416176525,"26706",-97.5926632479018,44.0936416176525,10/20/2019 12:48:49 AM,49.7634404,"0","0","0","0","0"
-97.5950764265507,44.0912617349642,"26707",-97.5950764265507,44.0912617349642,10/20/2019 12:36:11 AM,0,"4","1","0","0","1"
-97.5951403489045,44.0883835096516,"26708",-97.5951403489045,44.0883835096516,10/19/2019 9:43:39 PM,36.7317365,"0","0","0","0","0"
-97.597997215906,44.0895849456457,"26709",-97.597997215906,44.0895849456457,10/19/2019 9:21:21 PM,41.88352208,"0","0","0","0","0"
-97.5953423565058,44.0947725423513,"26710",-97.5953423565058,44.0947725423513,10/19/2019 5:01:36 PM,28.09801082,"0","0","0","0","0"
-97.5952805319045,44.0882915896516,"26711",-97.5952805319045,44.0882915896516,10/19/2019 9:32:36 PM,42.80694885,"0","0","0","0","0"
-97.5992571419061,44.0940267396465,"26712",-97.5992571419061,44.0940267396465,10/19/2019 8:59:20 PM,43.22003355,"0","0","0","0","0"
-97.5939675309052,44.0922584686462,"26713",-97.5939675309052,44.0922584686462,10/20/2019 1:33:17 AM,49.76293086,"6","2","0","1","1"
-97.5978758329051,44.0910331676521,"26714",-97.5978758329051,44.0910331676521,10/19/2019 8:39:27 PM,18.36760301,"0","0","0","0","0"
-97.5946150239054,44.0918847646461,"26715",-97.5946150239054,44.0918847646461,10/20/2019 1:07:22 AM,46.31486444,"5","1","0","1","1"
-97.5964531359053,44.0935506006467,"26716",-97.5964531359053,44.0935506006467,10/19/2019 11:14:09 PM,11.4186712,"1","3","0","0","0"
-97.5985057615109,44.095296755357,"26717",-97.5985057615109,44.095296755357,10/19/2019 4:55:21 PM,47.61944023,"0","0","0","0","0"
-97.598261698906,44.0898178526456,"26718",-97.598261698906,44.0898178526456,10/19/2019 8:26:42 PM,21.7829962,"0","0","0","0","0"
-97.5960517609053,44.0925215736464,"26719",-97.5960517609053,44.0925215736464,10/19/2019 10:31:45 PM,8.50245713,"2","2","0","1","1"
-97.5951318579055,44.091449316646,"26720",-97.5951318579055,44.091449316646,10/20/2019 12:36:23 AM,32.84162516,"4","1","0","0","1"
-97.600096765506,44.0946567043562,"26721",-97.600096765506,44.0946567043562,10/19/2019 7:22:25 PM,0,"0","0","0","0","0"
-97.5945962479081,44.0903747326462,"26722",-97.5945962479081,44.0903747326462,10/19/2019 10:42:48 PM,25.28387449,"5","1","0","0","1"
-97.5978358815144,44.0943720523507,"26723",-97.5978358815144,44.0943720523507,10/19/2019 5:25:30 PM,0,"0","0","0","0","0"
-97.5947474639053,44.0920852826462,"26724",-97.5947474639053,44.0920852826462,10/20/2019 1:03:51 AM,50.83632681,"4","4","0","1","1"
-97.5980005369057,44.0898028946457,"26725",-97.5980005369057,44.0898028946457,10/19/2019 9:21:33 PM,39.84650987,"0","0","0","0","0"
-97.5949756919043,44.0882870476516,"26726",-97.5949756919043,44.0882870476516,10/19/2019 9:32:48 PM,43.54529676,"0","0","0","0","0"
-97.5962819429055,44.0893617196457,"26727",-97.5962819429055,44.0893617196457,10/19/2019 10:22:06 PM,44.90666932,"1","4","0","0","0"
-97.5923041669049,44.091705376646,"26728",-97.5923041669049,44.091705376646,10/20/2019 12:45:52 AM,42.08836432,"9","3","0","0","0"
-97.5981483839003,44.0910717816514,"26729",-97.5981483839003,44.0910717816514,10/19/2019 8:39:39 PM,39.59635102,"0","0","0","0","0"
-97.5999125605122,44.0932607293505,"26730",-97.5999125605122,44.0932607293505,10/19/2019 7:13:36 PM,20.04420401,"0","0","0","0","0"
-97.595289238504,44.095133850352,"26731",-97.595289238504,44.095133850352,10/19/2019 4:48:26 PM,25.52446444,"0","0","0","0","0"
-97.5946910778999,44.0900789156464,"26732",-97.5946910778999,44.0900789156464,10/19/2019 10:59:37 PM,42.6191289,"4","1","0","0","0"
-97.5991371559059,44.0950522306468,"26733",-97.5991371559059,44.0950522306468,10/19/2019 9:06:53 PM,4.30965493,"0","0","0","0","0"
-97.5938010750811,44.088355402343,"26734",-97.5938010750811,44.088355402343,10/19/2019 9:42:29 PM,0,"0","0","0","0","0"
