"Silty clay loam"||"88611621"|"90162106"
"Clay loam"||"88611620"|"90162446"
"Silty clay"||"88611619"|"90161872"
"Clay"||"88611618"|"90162445"
"Silt loam"||"88611617"|"90161707"
"Silty clay loam"||"88611616"|"90161706"
"Silt loam"||"88611615"|"90161705"
"Silt loam"||"88611614"|"90162299"
"Clay loam"||"88611613"|"90162747"
"Loam"||"88611612"|"90162298"
"Clay loam"||"88611611"|"90162149"
"Silt loam"||"88611610"|"90162148"
"Loam"||"88611609"|"90162147"
"Loam"||"88611608"|"90162146"
"Loam"||"88611495"|"90162734"
"Clay loam"||"88611494"|"90162019"
"Loam"||"88611493"|"90162018"
"Clay loam"||"88611492"|"90162736"
"Loam"||"88611491"|"90162287"
"Clay loam"||"88611490"|"90162735"
"Loam"||"88611489"|"90162286"
"Silt loam"||"88611488"|"90161671"
"Clay loam"||"88611487"|"90161670"
"Loam"||"88611486"|"90161669"
"Clay loam"||"88611485"|"90161668"
"Loam"||"88611484"|"90162402"
"Loam"||"88611483"|"90161828"
"Silt loam"||"88611482"|"90162404"
"Clay loam"||"88611481"|"90161829"
"Loam"||"88611480"|"90162403"
"Loam"||"88611479"|"90162292"
"Loam"||"88611478"|"90162741"
"Clay loam"||"88611477"|"90162293"
"Loam"||"88611476"|"90162141"
"Clay loam"||"88611475"|"90162140"
"Clay"||"88611474"|"90162139"
"Clay loam"||"88611473"|"90162138"
"Silty clay loam"||"88611472"|"90162695"
"Clay"||"88611471"|"90161498"
"Silty clay"||"88611470"|"90161497"
"Clay loam"||"88611469"|"90161496"
"Clay loam"||"88611468"|"90162371"
"Silty clay"||"88611467"|"90161797"
"Clay"||"88611466"|"90162370"
"Silt loam"||"88611465"|"90161796"
"Silty clay loam"||"88611464"|"90161648"
"Silt loam"||"88611463"|"90161647"
"Clay loam"||"88612700"|"90161932"
"Silty clay loam"||"88612699"|"90162507"
"Silty clay"||"88612698"|"90161942"
"Silt loam"||"88612697"|"90161638"
"Silty clay loam"||"88612696"|"90161637"
"Clay loam"||"88612695"|"90161636"
"Silty clay"||"88612694"|"90162506"
"Clay loam"||"88612693"|"90161931"
"Silty clay loam"||"88612692"|"90162505"
"Clay"||"88612691"|"90161930"
"Silt loam"||"88612690"|"90161769"
"Clay loam"||"88612689"|"90161767"
"Loam"||"88612688"|"90161768"
"Silt loam"||"88612687"|"90161766"
"Clay loam"||"88612686"|"90161765"
"Clay"||"88612685"|"90162504"
"Silty clay"||"88612684"|"90161929"
"Silty clay loam"||"88612683"|"90162503"
"Loam"||"88612682"|"90161928"
"Clay loam"||"88612681"|"90161635"
"Clay loam"||"88612680"|"90161634"
"Loam"||"88612679"|"90162502"
"Silt loam"||"88612678"|"90161633"
"Silty clay"||"88612677"|"90161632"
"Silty clay loam"||"88612676"|"90161927"
"Loam"||"88612675"|"90161926"
"Silty clay loam"||"88612674"|"90162501"
"Silt loam"||"88612673"|"90161764"
"Loam"||"88612672"|"90161763"
"Clay loam"||"88612671"|"90161762"
"Clay loam"||"88612670"|"90161761"
"Loam"||"88612669"|"90162500"
"Loam"||"88612668"|"90161925"
"Loam"||"88612667"|"90162499"
"Clay loam"||"88612666"|"90161924"
"Loam"||"88612665"|"90162498"
"Clay loam"||"88612664"|"90161631"
"Loam"||"88612663"|"90161630"
"Loam"||"88612662"|"90161629"
"Loam"||"88612661"|"90161628"
"Clay loam"||"88612660"|"90162497"
"Loam"||"88612659"|"90162496"
"Clay loam"||"88612658"|"90161923"
"Clay loam"||"88612657"|"90161922"
"Loam"||"88612656"|"90161760"
"Clay loam"||"88612655"|"90161759"
"Clay"||"88612654"|"90161758"
"Clay loam"||"88612653"|"90161921"
"Loam"||"88612652"|"90161757"
"Clay loam"||"88612651"|"90162495"
"Loam"||"88612650"|"90161920"
"Clay loam"||"88612649"|"90162494"
"Loam"||"88612648"|"90161627"
"Clay loam"||"88612647"|"90161626"
"Loam"||"88612646"|"90161625"
"Clay loam"||"88612645"|"90161624"
"Loam"||"88612644"|"90162493"
"Loam"||"88611874"|"90162113"
"Clay loam"||"88611875"|"90162701"
"Sandy loam"||"88611876"|"90162253"
"Clay loam"||"88611877"|"90162254"
"Loam"||"88611878"|"90162702"
"Sandy loam"||"88611879"|"90162111"
"Clay loam"||"88611879"|"90162112"
"Clay"||"88611880"|"90162120"
"Clay loam"||"88611881"|"90162707"
"Silty clay loam"||"88611882"|"90162260"
"Silty clay"||"88611883"|"90162708"
"Clay loam"||"88611884"|"90162261"
"Silty clay"||"88611885"|"90161988"
"Silty clay loam"||"88611886"|"90161989"
"Clay"||"88611887"|"90161990"
"Silty clay loam"||"88611888"|"90161985"
"Clay loam"||"88611889"|"90161986"
"Silty clay"||"88611890"|"90161987"
"Clay loam"||"88611891"|"90162258"
"Loam"||"88611892"|"90162705"
"Silt loam"||"88611893"|"90162259"
"Clay loam"||"88611894"|"90162706"
"Silty clay loam"||"88611895"|"90162117"
"Silty clay"||"88611896"|"90162118"
"Clay"||"88611897"|"90162119"
"Silty clay loam"||"88611898"|"90162264"
"Loam"||"88611899"|"90161992"
"Silt loam"||"88611900"|"90161993"
"Clay loam"||"88611901"|"90161994"
"Silty clay loam"||"88611902"|"90161995"
"Clay"||"88611903"|"90162265"
"Silty clay"||"88611904"|"90162711"
"Silt loam"||"88611905"|"90162266"
"Loam"||"88611906"|"90162712"
"Clay loam"||"88611907"|"90162267"
"Silty clay"||"88611908"|"90162125"
"Silty clay loam"||"88611909"|"90162126"
"Clay loam"||"88611910"|"90162268"
"Loam"||"88611911"|"90162123"
"Silt loam"||"88611912"|"90162124"
