X,Y,DISTANCE,SWATHWIDTH,VRYIELDVOL,SECTIONID,Crop,WetMass,Moisture,Time,Heading,VARIETY
-127654.846046913,739310.857069663,6.29815605,5.00000000,121.59232725,328,173,6856.45150546,15.59000000,10/12/2015 8:48:53 PM,1.21468744,5893VT2RIB 98day
-127653.329195773,739310.7730954,6.29815605,5.00000000,121.59232725,329,173,6856.45150546,15.59000000,10/12/2015 8:48:53 PM,1.21468744,5893VT2RIB 98day
-127651.812344646,739310.68912108,6.29815605,5.00000000,121.59232725,330,173,6856.45150546,15.59000000,10/12/2015 8:48:53 PM,1.21468744,5893VT2RIB 98day
-127650.295493528,739310.605146723,6.29815605,5.00000000,121.59232725,331,173,6856.45150546,15.59000000,10/12/2015 8:48:53 PM,1.21468744,5893VT2RIB 98day
-127657.822354716,739312.93506074,6.29815605,5.00000000,116.63499286,326,173,6576.90752266,15.59000000,10/12/2015 8:48:54 PM,1.02468744,5893VT2RIB 98day
-127656.305234114,739312.85615173,6.29815605,5.00000000,116.63499286,327,173,6576.90752266,15.59000000,10/12/2015 8:48:54 PM,1.02468744,5893VT2RIB 98day
-127654.78811352,739312.777242668,6.29815605,5.00000000,116.63499286,328,173,6576.90752266,15.59000000,10/12/2015 8:48:54 PM,1.02468744,5893VT2RIB 98day
-127653.270992938,739312.69833356,6.29815605,5.00000000,116.63499286,329,173,6576.90752266,15.59000000,10/12/2015 8:48:54 PM,1.02468744,5893VT2RIB 98day
-127651.753872365,739312.619424406,6.29815605,5.00000000,116.63499286,330,173,6576.90752266,15.59000000,10/12/2015 8:48:54 PM,1.02468744,5893VT2RIB 98day
-127650.236751803,739312.5405152,6.29815605,5.00000000,116.63499286,331,173,6576.90752266,15.59000000,10/12/2015 8:48:54 PM,1.02468744,5893VT2RIB 98day
-127657.736948893,739314.942811445,6.56062324,5.00000000,114.39163663,326,173,6450.40870638,15.59000000,10/12/2015 8:48:55 PM,1.14468744,5893VT2RIB 98day
-127656.219996431,739314.860703271,6.56062324,5.00000000,114.39163663,327,173,6450.40870638,15.59000000,10/12/2015 8:48:55 PM,1.14468744,5893VT2RIB 98day
-127654.703043979,739314.778595045,6.56062324,5.00000000,114.39163663,328,173,6450.40870638,15.59000000,10/12/2015 8:48:55 PM,1.14468744,5893VT2RIB 98day
-127653.186091537,739314.696486774,6.56062324,5.00000000,114.39163663,329,173,6450.40870638,15.59000000,10/12/2015 8:48:55 PM,1.14468744,5893VT2RIB 98day
-127651.669139105,739314.61437845,6.56062324,5.00000000,114.39163663,330,173,6450.40870638,15.59000000,10/12/2015 8:48:55 PM,1.14468744,5893VT2RIB 98day
-127650.152186684,739314.532270078,6.56062324,5.00000000,114.39163663,331,173,6450.40870638,15.59000000,10/12/2015 8:48:55 PM,1.14468744,5893VT2RIB 98day
-127657.671854399,739316.923977663,6.52781484,5.00000000,103.57431131,326,173,5840.42982420,15.59000000,10/12/2015 8:48:56 PM,0.96468744,5893VT2RIB 98day
-127656.154652076,739316.846668344,6.52781484,5.00000000,103.57431131,327,173,5840.42982420,15.59000000,10/12/2015 8:48:56 PM,0.96468744,5893VT2RIB 98day
-127654.637449764,739316.769358976,6.52781484,5.00000000,103.57431131,328,173,5840.42982420,15.59000000,10/12/2015 8:48:56 PM,0.96468744,5893VT2RIB 98day
-127653.12024746,739316.692049558,6.52781484,5.00000000,103.57431131,329,173,5840.42982420,15.59000000,10/12/2015 8:48:56 PM,0.96468744,5893VT2RIB 98day
-127651.603045168,739316.61474009,6.52781484,5.00000000,103.57431131,330,173,5840.42982420,15.59000000,10/12/2015 8:48:56 PM,0.96468744,5893VT2RIB 98day
-127650.085842886,739316.537430578,6.52781484,5.00000000,103.57431131,331,173,5840.42982420,15.59000000,10/12/2015 8:48:56 PM,0.96468744,5893VT2RIB 98day
-127657.604631888,739318.938070058,6.59343164,5.00000000,109.75304693,326,173,6188.84176054,15.59000000,10/12/2015 8:48:57 PM,1.01468744,5893VT2RIB 98day
-127656.087497394,739318.859427637,6.59343164,5.00000000,109.75304693,327,173,6188.84176054,15.59000000,10/12/2015 8:48:57 PM,1.01468744,5893VT2RIB 98day
-127654.570362911,739318.780785161,6.59343164,5.00000000,109.75304693,328,173,6188.84176054,15.59000000,10/12/2015 8:48:57 PM,1.01468744,5893VT2RIB 98day
-127653.053228437,739318.702142633,6.59343164,5.00000000,109.75304693,329,173,6188.84176054,15.59000000,10/12/2015 8:48:57 PM,1.01468744,5893VT2RIB 98day
-127651.536093974,739318.623500066,6.59343164,5.00000000,109.75304693,330,173,6188.84176054,15.59000000,10/12/2015 8:48:57 PM,1.01468744,5893VT2RIB 98day
-127650.018959521,739318.544857445,6.59343164,5.00000000,109.75304693,331,173,6188.84176054,15.59000000,10/12/2015 8:48:57 PM,1.01468744,5893VT2RIB 98day
-127657.523400666,739320.966256397,6.56062324,5.00000000,99.51478672,326,173,5611.52341413,15.59000000,10/12/2015 8:48:58 PM,1.33468744,5893VT2RIB 98day
-127656.006727952,739320.879083614,6.56062324,5.00000000,99.51478672,327,173,5611.52341413,15.59000000,10/12/2015 8:48:58 PM,1.33468744,5893VT2RIB 98day
-127654.490055248,739320.791910774,6.56062324,5.00000000,99.51478672,328,173,5611.52341413,15.59000000,10/12/2015 8:48:58 PM,1.33468744,5893VT2RIB 98day
-127652.973382555,739320.704737891,6.56062324,5.00000000,99.51478672,329,173,5611.52341413,15.59000000,10/12/2015 8:48:58 PM,1.33468744,5893VT2RIB 98day
-127651.456709873,739320.617564955,6.56062324,5.00000000,99.51478672,330,173,5611.52341413,15.59000000,10/12/2015 8:48:58 PM,1.33468744,5893VT2RIB 98day
-127649.940037201,739320.53039197,6.56062324,5.00000000,99.51478672,331,173,5611.52341413,15.59000000,10/12/2015 8:48:58 PM,1.33468744,5893VT2RIB 98day
-127657.457877327,739323.005788214,6.65904844,5.00000000,105.88725107,326,173,5970.85494604,15.59000000,10/12/2015 8:48:58 PM,1.44468744,5893VT2RIB 98day
-127655.941374238,739322.915683732,6.65904844,5.00000000,105.88725107,327,173,5970.85494604,15.59000000,10/12/2015 8:48:58 PM,1.44468744,5893VT2RIB 98day
-127654.424871159,739322.82557919,6.65904844,5.00000000,105.88725107,328,173,5970.85494604,15.59000000,10/12/2015 8:48:58 PM,1.44468744,5893VT2RIB 98day
-127652.908368091,739322.735474599,6.65904844,5.00000000,105.88725107,329,173,5970.85494604,15.59000000,10/12/2015 8:48:58 PM,1.44468744,5893VT2RIB 98day
-127651.391865034,739322.645369968,6.65904844,5.00000000,105.88725107,330,173,5970.85494604,15.59000000,10/12/2015 8:48:58 PM,1.44468744,5893VT2RIB 98day
-127649.875361988,739322.555265279,6.65904844,5.00000000,105.88725107,331,173,5970.85494604,15.59000000,10/12/2015 8:48:58 PM,1.44468744,5893VT2RIB 98day
-127657.368133177,739325.028873645,6.62624004,5.00000000,106.87853625,326,173,6026.75288168,15.59000000,10/12/2015 8:49:00 PM,1.46468744,5893VT2RIB 98day
-127655.85166148,739324.938236142,6.62624004,5.00000000,106.87853625,327,173,6026.75288168,15.59000000,10/12/2015 8:49:00 PM,1.46468744,5893VT2RIB 98day
-127654.335189795,739324.847598593,6.62624004,5.00000000,106.87853625,328,173,6026.75288168,15.59000000,10/12/2015 8:49:00 PM,1.46468744,5893VT2RIB 98day
-127652.818718121,739324.756960996,6.62624004,5.00000000,106.87853625,329,173,6026.75288168,15.59000000,10/12/2015 8:49:00 PM,1.46468744,5893VT2RIB 98day
-127651.302246457,739324.666323354,6.62624004,5.00000000,106.87853625,330,173,6026.75288168,15.59000000,10/12/2015 8:49:00 PM,1.46468744,5893VT2RIB 98day
-127649.785774804,739324.575685657,6.62624004,5.00000000,106.87853625,331,173,6026.75288168,15.59000000,10/12/2015 8:49:00 PM,1.46468744,5893VT2RIB 98day
-127657.305495,739327.027187266,6.62624004,5.00000000,111.31786653,326,173,6277.08445774,15.59000000,10/12/2015 8:49:01 PM,1.07468744,5893VT2RIB 98day
-127655.788443262,739326.946945172,6.62624004,5.00000000,111.31786653,327,173,6277.08445774,15.59000000,10/12/2015 8:49:01 PM,1.07468744,5893VT2RIB 98day
